Año,Mes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2012,1,0.10,4.20,0.60,88.40,103.80,18.70,0.10,0.00,0.00,0.00,0.00,1.90,0.00,0.00,31.10,8.30,0.60,0.00,4.80,0.00,0.00,0.00,0.00,1.60,3.20,9.50,0.50,0.00,9.70,12.20,1.90
2012,2,0.30,0.00,0.00,0.00,0.00,0.10,6.60,26.40,3.20,0.00,3.40,12.50,0.10,0.00,0.30,0.20,0.00,0.00,0.50,6.70,0.00,0.60,0.00,22.50,19.50,1.40,3.20,15.40,8.40,NaN,NaN
2012,3,0.00,0.00,0.00,27.90,7.10,52.30,14.10,2.00,0.30,0.60,1.20,11.00,9.90,9.80,14.40,5.90,6.60,21.30,0.00,0.00,0.00,10.80,7.00,0.30,0.00,0.00,15.80,70.90,4.90,2.80,0.70
2012,4,1.10,0.00,2.80,2.70,9.50,0.00,0.00,9.10,1.80,0.90,1.10,0.00,0.00,0.00,0.00,5.10,7.90,0.60,10.50,0.80,0.00,0.40,58.30,14.10,0.50,0.00,0.00,0.40,0.00,0.00,NaN
2012,5,3.60,0.10,0.30,3.60,15.10,0.00,0.00,0.00,0.00,0.00,20.60,37.00,1.00,2.90,3.20,0.00,0.00,0.00,0.00,3.70,0.50,0.00,0.00,0.00,0.00,4.30,0.00,0.00,1.90,28.70,0.00
2012,6,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,2.30,1.50,94.80,5.80,0.30,0.00,0.00,6.30,0.00,0.00,0.00,0.00,0.00,0.00,23.50,0.10,0.00,0.20,0.00,10.50,9.70,0.00,NaN
2012,7,1.20,1.10,37.50,0.50,11.80,2.90,19.00,2.90,0.40,0.40,14.20,0.40,0.00,17.20,28.80,0.00,0.60,1.90,19.10,36.60,9.00,0.00,3.10,47.00,0.10,2.60,147.90,62.60,53.50,2.20,16.50
2012,8,39.90,29.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.70,0.00,3.80,17.20,0.80,0.00,0.00,10.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.10,0.20,5.30,0.00
2012,9,2.00,0.80,22.10,0.00,0.00,1.20,0.00,0.00,0.00,0.00,17.20,0.00,0.00,50.50,0.10,0.10,0.80,0.00,0.00,0.00,0.10,8.30,22.90,1.50,0.00,0.00,0.00,0.80,0.00,5.70,NaN
2012,10,0.00,0.00,2.30,6.60,23.90,0.00,0.00,6.90,0.00,4.50,1.50,0.00,0.00,5.50,12.70,0.10,0.00,0.00,0.00,1.00,0.00,0.00,1.20,1.80,7.00,0.10,7.10,0.00,6.40,0.00,1.50
2012,11,0.20,3.40,3.70,1.00,0.00,19.20,11.60,29.00,23.90,8.30,6.40,0.70,17.10,61.40,1.20,4.80,19.60,60.80,47.30,64.90,35.40,9.20,5.30,22.70,87.90,27.10,5.30,48.70,26.70,0.70,NaN
2012,12,0.00,0.50,0.00,0.00,5.50,0.10,0.00,11.00,0.50,7.60,3.20,2.80,2.90,21.40,0.90,0.00,0.00,0.00,0.00,0.20,11.40,17.70,17.40,15.00,44.90,0.90,19.00,27.50,11.90,11.60,5.90
2013,1,8.50,0.00,6.40,0.10,5.10,0.00,0.00,0.10,7.90,6.00,0.20,0.70,0.00,0.00,0.00,0.00,3.60,0.10,4.70,0.00,0.00,22.60,0.60,0.00,9.40,4.90,5.10,2.00,10.40,21.80,0.80
2013,2,0.70,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,11.20,36.70,1.30,0.30,0.00,5.10,0.00,13.40,3.40,4.50,13.40,15.10,15.00,0.00,6.10,1.30,NaN,NaN,NaN
2013,3,7.40,43.80,34.60,4.20,3.40,13.20,22.50,7.50,10.30,1.10,0.00,2.60,22.50,12.10,0.00,4.60,1.50,0.00,2.00,1.80,0.00,0.00,0.00,0.00,0.10,0.10,15.90,40.10,29.20,4.20,22.60
2013,4,21.40,2.00,4.80,0.90,0.10,0.00,0.00,13.90,11.80,0.00,0.00,0.00,11.00,2.70,0.00,0.40,81.10,20.10,13.20,5.40,37.10,4.90,0.00,0.00,0.40,5.10,0.30,2.10,0.00,0.00,NaN
2013,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.50,2.40,0.00,94.70,62.00,17.80,12.70,1.20,11.60,0.70,1.60,10.80,3.70,0.00,6.80,14.70,2.70,0.30,4.70,0.00,0.00,1.90,0.10
2013,6,0.00,0.00,0.00,0.00,0.00,9.20,0.00,41.80,4.80,7.10,0.00,4.40,3.00,0.00,5.00,0.00,7.70,9.00,0.00,32.00,3.30,4.80,31.80,1.10,25.40,15.10,40.30,0.00,3.20,0.10,NaN
2013,7,0.20,0.00,0.00,3.90,3.10,15.10,110.60,4.90,8.00,11.80,2.10,0.00,0.00,0.00,3.60,12.60,0.40,4.40,8.40,5.40,7.70,22.00,3.60,19.80,45.70,191.50,49.60,1.60,9.60,8.00,7.20
2013,8,2.90,6.20,0.70,14.50,0.00,10.40,0.00,0.00,2.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,7.40,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.90,0.00,65.40,0.10,0.00,1.50,19.20
2013,9,0.00,0.00,0.20,0.00,0.00,0.70,0.50,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.20,0.00,0.00,3.70,0.00,0.70,0.10,0.00,0.70,28.80,18.60,0.00,18.50,33.10,0.60,NaN
2013,10,0.10,0.00,1.80,0.70,0.80,0.00,0.00,0.80,0.40,0.00,2.70,1.10,6.00,0.00,1.30,0.00,0.00,0.60,1.30,0.10,1.00,0.10,0.00,0.10,0.00,0.00,0.00,0.70,10.30,8.10,10.70
2013,11,20.50,1.90,0.00,0.00,0.00,0.00,5.20,3.60,0.10,11.20,5.80,42.80,2.60,0.00,0.00,41.80,0.10,13.40,0.00,0.00,4.90,0.10,2.10,2.90,0.00,0.00,23.40,124.00,6.60,15.30,NaN
2013,12,1.40,0.00,0.00,0.00,0.70,5.20,7.00,26.70,0.00,0.00,0.00,4.70,0.60,18.10,45.80,3.20,45.00,28.60,5.20,0.50,0.10,2.00,0.10,0.00,0.00,7.10,0.00,0.00,1.00,5.90,16.00
2014,1,19.90,11.30,0.00,0.00,6.10,0.00,7.10,1.30,25.50,26.60,6.00,11.10,0.40,7.10,0.00,22.90,40.40,0.00,1.30,0.00,14.00,18.80,0.00,0.40,1.90,0.00,0.00,0.90,0.00,1.30,12.60
2014,2,0.00,0.00,0.00,0.00,0.90,0.00,0.00,10.40,15.50,3.30,9.30,5.50,0.50,22.90,11.00,19.60,3.60,3.80,0.00,0.00,0.00,0.70,17.70,4.40,0.50,0.60,0.80,0.00,NaN,NaN,NaN
2014,3,0.10,1.80,9.70,0.00,0.00,0.00,0.40,0.00,0.10,0.00,0.00,0.00,0.00,11.00,0.00,0.70,0.00,0.00,0.00,17.30,5.30,0.50,16.80,4.90,0.10,6.90,0.00,4.50,2.10,2.40,0.00
2014,4,0.00,0.00,2.10,10.30,24.60,0.10,0.00,64.70,13.20,3.30,29.40,5.80,5.30,8.80,0.90,6.50,0.10,8.70,8.20,5.60,10.40,3.20,7.90,16.20,1.10,84.30,13.30,0.00,5.60,0.00,NaN
2014,5,6.70,26.70,0.00,9.70,0.60,0.00,20.50,6.60,32.20,58.60,0.20,18.50,1.70,2.90,0.00,16.20,0.00,0.00,6.80,0.00,2.90,0.00,8.30,15.40,3.90,13.60,2.40,32.20,0.30,0.00,1.80
2014,6,2.50,0.00,0.00,0.50,43.50,11.60,23.00,12.80,2.30,0.00,0.60,0.60,34.60,1.50,1.40,0.10,12.50,8.80,65.90,30.60,9.10,26.60,3.70,0.30,57.60,5.60,0.00,1.40,4.00,34.20,NaN
2014,7,12.30,0.10,0.00,0.10,27.60,72.50,6.70,0.20,86.50,37.90,105.80,123.70,2.30,10.00,10.40,25.30,25.30,8.20,61.50,33.10,13.80,10.60,43.50,15.30,19.20,10.50,5.40,1.40,62.40,63.30,17.20
2014,8,77.00,29.20,0.50,0.00,0.00,10.50,3.30,12.80,0.00,0.00,1.90,0.00,0.40,0.00,157.00,10.20,45.10,47.00,70.20,0.30,8.40,15.40,0.00,0.00,0.00,0.00,2.80,39.00,6.80,0.00,0.00
2014,9,4.70,17.90,0.00,0.00,0.00,0.00,7.10,0.10,0.00,42.30,4.10,1.90,53.30,22.70,0.00,5.20,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.50,0.60,0.00,1.40,0.20,0.00,NaN
2014,10,0.00,56.70,12.50,1.90,4.30,0.00,0.30,0.30,4.30,1.20,0.00,0.00,0.70,0.00,0.00,0.00,1.90,0.70,0.80,1.00,0.10,0.00,0.00,0.00,0.00,18.20,0.30,19.90,31.40,4.10,0.00
2014,11,47.50,4.20,32.60,7.80,9.00,43.90,17.30,0.30,0.00,0.00,0.00,0.00,3.30,18.20,0.00,4.40,1.20,0.00,2.00,0.00,7.80,1.10,0.00,0.00,19.80,37.10,25.50,13.70,3.10,7.90,NaN
2014,12,20.70,14.30,129.10,11.50,10.40,9.70,19.60,0.20,27.10,7.80,34.60,74.90,39.40,35.50,1.10,27.30,7.20,0.00,2.40,0.80,2.10,0.00,0.60,0.00,9.30,9.40,10.00,7.60,9.30,63.80,30.30
2015,1,10.40,10.40,14.00,53.20,24.00,19.90,57.80,82.00,1.60,12.70,16.60,3.00,14.50,22.90,6.10,4.60,1.20,8.20,54.50,6.30,0.00,0.40,0.00,12.90,2.40,0.70,23.00,60.00,15.90,3.60,0.00
2015,2,0.00,25.10,13.00,0.10,23.90,20.50,0.30,0.00,0.00,0.00,1.40,4.20,55.70,18.90,26.70,0.10,0.00,0.20,4.30,14.60,9.90,8.60,0.10,0.40,0.00,0.00,12.40,11.00,NaN,NaN,NaN
2015,3,62.80,0.60,0.00,0.00,0.00,5.30,21.30,24.90,5.30,0.90,6.40,7.30,7.00,1.90,0.80,18.80,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,12.10,3.70,7.50
